"","ID","Species","SampleID","Length.cm.","Month","GonWeight","Weight.g.","H_Sex","Oocyte_Stage","Phase","Mature","M_CA","M_VT","CN","PN","CA","VTI","VTII","VTIII","Muscel.Bundles","Blood.Vessels","POFS","atresia"
"196",439,"Pristipomoides zonatus","GVDP-822",33.4,"Jul",1.3,804,"M","","SC",1,NA,NA,"","","","","","","","","",""
"197",431,"Pristipomoides zonatus","GVDP-823",25.8,"Jul",3.1,369,"F","H","AS",NA,1,1,"","x","x","x","x","x","","","",""
"198",432,"Pristipomoides zonatus","GVDP-824",27.7,"Jul",0.2,446,"M","","SC",1,NA,NA,"","","","","","","","","",""
"199",433,"Pristipomoides zonatus","GVDP-826",29.6,"Jul",3.3,565,"F","CA","D",NA,1,1,"x","x","x","","","","x","large","","gamma"
"200",434,"Pristipomoides zonatus","GVDP-838",26.5,"Apr",1.3,371,"F","PO","RE",NA,1,1,"x","x","","","","","","x","","gamma"
"201",436,"Pristipomoides zonatus","GVDP-839",24.1,"Apr",0.6,290,"F","CA","D",NA,1,1,"x","x","x","","","","","","","gamma"
"202",435,"Pristipomoides zonatus","GVDP-840",26.6,"Apr",1.3,395,"F","CA","D",NA,1,1,"x","x","x","","","","","","","gamma"
"203",426,"Pristipomoides zonatus","GVDP-867",25.4,"Jun",0.9,328,"F","PO","RE",NA,1,1,"x","x","","","","","","","","gamma"
"204",427,"Pristipomoides zonatus","GVDP-868",23.2,"Jun",0.3,246,"M","","U",0,NA,NA,"","","","","","","","","",""
"205",428,"Pristipomoides zonatus","GVDP-874",NA,NA,NA,NA,"M","","SC",1,NA,NA,"","","","","","","","","",""
"206",429,"Pristipomoides zonatus","GVDP-875",NA,NA,NA,NA,"M","","SC",1,NA,NA,"","","","","","","","","",""
"207",365,"Pristipomoides zonatus","GVDP-99",29,"Sep",0.2,525,"M","","SC",1,NA,NA,"","","","","","","","","",""
"208",779,"Pristipomoides zonatus","SE-14-05-01",NA,NA,NA,NA,"F","PO","RE",NA,1,1,"","x","","","","","x","x","","gamma"
"209",780,"Pristipomoides zonatus","SE-14-05-04",NA,NA,NA,NA,"F","CA","D",NA,1,1,"","x","x","","","","x","x","","gamma"
"210",781,"Pristipomoides zonatus","SE-14-05-05",NA,NA,NA,NA,"M","","SC",1,NA,NA,"","","","","","","","","",""
"211",785,"Pristipomoides zonatus","SE-14-05-141",NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","","","","","",""
"212",786,"Pristipomoides zonatus","SE-14-05-142",NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","","","","","",""
"213",787,"Pristipomoides zonatus","SE-14-05-143",NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","","","","","",""
"214",788,"Pristipomoides zonatus","SE-14-05-144",NA,NA,NA,NA,"F","PO","U",NA,0,0,"x","x","","","","","","","","gamma?"
"215",789,"Pristipomoides zonatus","SE-14-05-145",NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","","","","","",""
"216",790,"Pristipomoides zonatus","SE-14-05-194",NA,NA,NA,NA,"F","VTIII","SC",NA,1,1,"","x","x","x","x","x","x","x","","beta"
"217",791,"Pristipomoides zonatus","SE-14-05-195",NA,NA,NA,NA,"M","","U",0,NA,NA,"","","","","","","","","",""
"218",792,"Pristipomoides zonatus","SE-14-05-250",NA,NA,NA,NA,"M","","SC",1,NA,NA,"","","","","","","","","",""
"219",793,"Pristipomoides zonatus","SE-14-05-278",NA,NA,NA,NA,"F","PO","RE",NA,1,1,"","x","","","","","x","x","","gamma"
"220",797,"Pristipomoides zonatus","SE-14-05-334",NA,NA,NA,NA,"F","VTIII","SC",NA,1,1,"","x","x","x","x","x","","x","recent","beta, gamma"
"221",782,"Pristipomoides zonatus","SE-14-05-66",NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","","","","","",""
"222",783,"Pristipomoides zonatus","SE-14-05-67",NA,NA,NA,NA,"F","PO","RE",NA,1,1,"","x","","","","","x","x","","gamma"
"223",794,"Pristipomoides zonatus","SE-14-05-68",NA,NA,NA,NA,"M","","U",0,NA,NA,"","","","","","","","","",""
"224",795,"Pristipomoides zonatus","SE-14-05-69",NA,NA,NA,NA,"M","","D",1,NA,NA,"","","","","","","","","",""
"225",784,"Pristipomoides zonatus","SE-14-05-89",NA,NA,NA,NA,"F","PO","RE",NA,1,1,"","x","","","","","","x","","gamma"
"226",859,"Pristipomoides zonatus","GECC-336",22.1,"Aug",0.43,212,"F","CA","D",NA,1,0,"x","x","x","","","","","x","",""
"227",860,"Pristipomoides zonatus","GESS-340",NA,NA,NA,NA,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","x","x","medium","alpha, beta"
"228",861,"Pristipomoides zonatus","GECC-409",39,"Sep",0.71,1202,"M","","",1,NA,NA,"","","","","","","","","",""
"229",862,"Pristipomoides zonatus","GGBS-135",33.4,"Jul",13,769,"F","H","AS",NA,1,1,"x","x","x","x","x","x","x","x","recent",""
"230",863,"Pristipomoides zonatus","GGBS-136",25.5,"Jul",0,343,"M","","",0,NA,NA,"","","","","","","","","",""
"231",864,"Pristipomoides zonatus","GGBS-138",24.8,"Jul",1,300,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"232",865,"Pristipomoides zonatus","GGBS-140",29.1,"Jul",22,487,"F","H","AS",NA,1,1,"x","x","x","x","x","x","x","x","recent",""
"233",866,"Pristipomoides zonatus","GGBS-143",29.8,"Aug",9,524,"F","H","AS",NA,1,1,"x","x","x","x","x","x","x","x","old","betta"
"234",867,"Pristipomoides zonatus","GGBS-149",21.8,"Aug",0,203,"","","",NA,0,0,"","","","","","","","","",""
"235",868,"Pristipomoides zonatus","GGBS-152",32,"Aug",32,757,"F","H","AS",NA,1,1,"x","x","x","","","x","x","x","","betta, gamma"
"236",869,"Pristipomoides zonatus","GGBS-153",32,"Aug",12,748,"F","H","AS",NA,1,1,"x","x","x","x","x","x","x","x","old","betta, gamma"
"237",870,"Pristipomoides zonatus","GGBS-203",20,"Sep",0,158,"F","VTI","D",NA,1,1,"x","x","x","x","","","x","x","","betta, gamma, delta"
"238",871,"Pristipomoides zonatus","GGBS-215",20.2,"Sep",0,178,"F","PO","RE",NA,1,1,"x","x","","","","","x","x","","gamma"
"239",872,"Pristipomoides zonatus","GGBS-216",20.4,"Sep",0,175,"F","CA","D",NA,1,1,"x","x","x","","","","x","x","","gamma"
"240",873,"Pristipomoides zonatus","GGBS-232",26.9,"Sep",2,400,"F","VTI","RG",NA,1,1,"x","x","x","x","","","x","x","","loaded with alpha, beta, delta"
"241",874,"Pristipomoides zonatus","GGBS-233",26.4,"Sep",0,357,"M","","",1,NA,NA,"","","","","","","","","",""
"242",875,"Pristipomoides zonatus","GGBS-234",30.6,"Sep",0,570,"M","","",1,NA,NA,"","","","","","","","","",""
"243",876,"Pristipomoides zonatus","GGBS-235",31.8,"Sep",9,651,"F","VTIII","SC",NA,1,1,"x","x","x","x","x","x","x","x","recent","alpha"
"244",877,"Pristipomoides zonatus","GGBS-236",33,"Sep",0,689,"M","","",1,NA,NA,"","","","","","","","","",""
"245",878,"Pristipomoides zonatus","GGBS-237",30.7,"Sep",4,575,"F","CA","RG",NA,1,1,"x","x","x","","","","x","","","alpha, beta, delta"
"246",879,"Pristipomoides zonatus","GECC-43",26.2,"Jan",1.8,368,"F","CA","D",NA,1,1,"x","x","x","","","","","","","gamma"
"247",880,"Pristipomoides zonatus","GECC-44",33.5,"Jan",0.2,818,"M","","",1,NA,NA,"","","","","","","","","",""
"248",881,"Pristipomoides zonatus","GECC-45",33.9,"Jan",0.5,883,"M","","",1,NA,NA,"","","","","","","","","",""
"249",882,"Pristipomoides zonatus","GGBS-134",37.5,"Jul",1,1026,"M","","",1,NA,NA,"","","","","","","","","",""
